[('calculate', 'NN')] 
[('signal', 'NN')] 
[('loss', 'NN')] 
[('across', 'IN')] 
[('simple', 'NN')] 
[('fracture', 'NN')] 
[('given', 'VBN')] 
[('', 'NN')] 
[('followed', 'VBD')] 
[('details', 'NNS')] 
[('specific', 'JJ')] 
[('material', 'NN')] 
[('used', 'VBN')] 
[('experiments', 'NNS')] 
[('parameters', 'NNS')] 
[('used', 'VBN')] 
[('numerical', 'JJ')] 
[('simulation', 'NN')] 
[('studies', 'NNS')] 
[('', 'NN')] 
[('experimental', 'NN')] 
[('procedures', 'NNS')] 
[('measure', 'NN')] 
[('ultrasound', 'NN')] 
[('velocity', 'NN')] 
[('attenuation', 'NN')] 
[('', 'NN')] 
[('axial', 'JJ')] 
[('transmission', 'NN')] 
[('technique', 'NN')] 
[('employed', 'VBN')] 
[('using', 'VBG')] 
[('', 'NN')] 
[('mm', 'NN')] 
[('diameter', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('khz', 'NN')] 
[('unfocussed', 'JJ')] 
[('transducers', 'NNS')] 
[('', 'NN')] 
[('one', 'CD')] 
[('acting', 'VBG')] 
[('source', 'NN')] 
[('receiver', 'NN')] 
[('', 'NN')] 
[('fig', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('shows', 'NNS')] 
[('geometry', 'NN')] 
[('axial', 'JJ')] 
[('transmission', 'NN')] 
[('technique', 'NN')] 
[('', 'NN')] 
[('onecycle', 'NN')] 
[('tone', 'NN')] 
[('burstgenerated', 'VBN')] 
[('agilent', 'NN')] 
[('a', 'DT')] 
[('function', 'NN')] 
[('generator', 'NN')] 
[('', 'NN')] 
[('amplified', 'VBN')] 
[('', 'NN')] 
[('db', 'NN')] 
[('', 'NN')] 
[('wasapplied', 'VBN')] 
[('fixed', 'VBN')] 
[('source', 'NN')] 
[('transducer', 'NN')] 
[('', 'NN')] 
[('fig', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('specimens', 'NNS')] 
[('transducers', 'NNS')] 
[('immersed', 'VBN')] 
[('tank', 'NN')] 
[('distilled', 'VBN')] 
[('water', 'NN')] 
[('', 'NN')] 
[('source', 'NN')] 
[('thereceiver', 'NN')] 
[('positioned', 'VBN')] 
[('predetermined', 'VBN')] 
[('height', 'NN')] 
[('', 'NN')] 
[('h', 'NN')] 
[('', 'NN')] 
[('particular', 'JJ')] 
[('specimen', 'NNS')] 
[('thickness', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('investigation', 'NN')] 
[('', 'NN')] 
[('acoustic', 'JJ')] 
[('axis', 'NN')] 
[('perpendicular', 'NN')] 
[('specimen', 'NNS')] 
[('surface', 'NN')] 
[('', 'NN')] 
[('initial', 'JJ')] 
[('separation', 'NN')] 
[('transmitter', 'NN')] 
[('receiver', 'NN')] 
[('', 'NN')] 
[('denoted', 'VBN')] 
[('x', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('sufficient', 'NN')] 
[('avoid', 'NN')] 
[('signal', 'NN')] 
[('interference', 'NN')] 
[('direct', 'JJ')] 
[('water', 'NN')] 
[('borne', 'NN')] 
[('waves', 'NNS')] 
[('', 'NN')] 
[('receiving', 'VBG')] 
[('transducer', 'NN')] 
[('', 'NN')] 
[('r', 'NN')] 
[('', 'NN')] 
[('moved', 'VBN')] 
[('specified', 'VBN')] 
[('distance', 'NN')] 
[('mm', 'NN')] 
[('intervals', 'NNS')] 
[('using', 'VBG')] 
[('linear', 'NN')] 
[('stepper', 'NN')] 
[('motor', 'NN')] 
[('rig', 'NN')] 
[('transducer', 'NN')] 
[('separation', 'NN')] 
[('', 'NN')] 
[('x', 'NN')] 
[('', 'NN')] 
[('measured', 'VBN')] 
[('optical', 'JJ')] 
[('encoder', 'NN')] 
[('', 'NN')] 
[('accuracy±', 'NN')] 
[('%', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('separation', 'NN')] 
[('limited', 'JJ')] 
[('specimen', 'NNS')] 
[('dimensions', 'NNS')] 
[('', 'NN')] 
[('received', 'VBN')] 
[('signalswere', 'RB')] 
[('filtered', 'VBN')] 
[('', 'NN')] 
[('amplified', 'VBN')] 
[('captured', 'VBN')] 
[('using', 'VBG')] 
[('digital', 'NN')] 
[('oscilloscope', 'NN')] 
[('', 'NN')] 
[('averaged', 'VBD')] 
[('', 'NN')] 
[('waveforms', 'NNS')] 
[('', 'NN')] 
[('amplitudes', 'NNS')] 
[('first', 'RB')] 
[('peak', 'NN')] 
[('interval', 'NN')] 
[('recorded', 'VBN')] 
[('', 'NN')] 
[('experimental', 'NN')] 
[('procedure', 'NN')] 
[('repeated', 'VBN')] 
[('three', 'CD')] 
[('times', 'NNS')] 
[('theresulting', 'VBG')] 
[('data', 'NNS')] 
[('averaged', 'VBD')] 
[('used', 'VBN')] 
[('calculate', 'NN')] 
[('first', 'RB')] 
[('arrival', 'NN')] 
[('signal', 'NN')] 
[('', 'NN')] 
[('fas', 'NN')] 
[('', 'NN')] 
[('attenuation', 'NN')] 
[('slope', 'NN')] 
[('curve', 'NN')] 
[('', 'NN')] 
[('attenuation', 'NN')] 
[('data', 'NNS')] 
[('plotted', 'VBN')] 
[('sound', 'NN')] 
[('pressure', 'NN')] 
[('level', 'NN')] 
[('', 'NN')] 
[('spl', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
